User: USER;;;;;;;;;;;;
Path: C:\Program Files (x86)\BMG\Omega\User\Data\;;;;;;;;;;;;
Test ID: 2810;;;;;;;;;;;;
Test Name: RABBIT ELISA;;;;;;;;;;;;
Date: 23-01-2024;;;;;;;;;;;;
Time: 11:22:38;;;;;;;;;;;;
ID1: MAOJ230124h6n1caliVirusTitplate1;;;;;;;;;;;;
Absorbance;;;Absorbance values are displayed as OD;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;1. Raw Data (450 1);;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12
A;2.753;2.695;2.691;2.671;2.66;2.453;2.323;2.123;1.704;1.242;0.881;0.057
B;2.73;2.666;2.715;2.664;2.6;2.519;2.351;2.211;1.844;1.313;0.999;0.056
C;2.786;2.702;2.739;2.607;2.956;2.49;2.267;2.162;1.707;1.235;0.819;0.064
D;2.843;2.745;2.746;2.675;2.69;2.545;2.5;2.24;1.917;1.37;0.954;0.064
E;0.035;0.041;0.037;0.042;0.046;0.043;0.042;0.034;0.039;0.049;0.035;0.033
F;0.035;0.039;0.041;0.044;0.041;0.036;0.044;0.036;0.05;0.039;0.039;0.032
G;0.038;0.044;0.036;0.046;0.034;0.043;0.037;0.036;0.038;0.039;0.036;0.059
H;0.041;0.04;0.033;0.035;0.042;0.046;0.048;0.031;0.033;0.026;0.034;0.048
;;;;;;;;;;;;
;2. Raw Data (620 2);;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12
A;0.033;0.039;0.033;0.038;0.037;0.035;0.038;0.039;0.036;0.042;0.042;0.035
B;0.033;0.036;0.038;0.036;0.036;0.044;0.043;0.039;0.038;0.043;0.038;0.035
C;0.033;0.037;0.037;0.035;0.358;0.043;0.039;0.052;0.04;0.041;0.035;0.041
D;0.037;0.039;0.037;0.042;0.037;0.039;0.041;0.041;0.039;0.041;0.044;0.041
E;0.021;0.025;0.026;0.03;0.03;0.028;0.027;0.023;0.026;0.033;0.025;0.03
F;0.027;0.027;0.027;0.029;0.027;0.025;0.03;0.025;0.032;0.026;0.027;0.024
G;0.027;0.018;0.031;0.031;0.022;0.03;0.024;0.025;0.022;0.025;0.026;0.044
H;0.018;0.025;0.032;0.023;0.03;0.031;0.031;0.016;0.026;0.019;0.021;0.032
