User: USER;;;;;;;;;;;;
Path: C:\Program Files (x86)\BMG\Omega\User\Data\;;;;;;;;;;;;
Test ID: 2811;;;;;;;;;;;;
Test Name: RABBIT ELISA;;;;;;;;;;;;
Date: 23-01-2024;;;;;;;;;;;;
Time: 11:50:15;;;;;;;;;;;;
ID1: OLSE230124h6n1caliVirusTitplate2;;;;;;;;;;;;
Absorbance;;;Absorbance values are displayed as OD;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;1. Raw Data (450 1);;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12
A;2.207;2.264;2.161;2.333;2.037;1.992;1.825;1.547;1.304;0.863;0.573;0.057
B;2.209;2.15;2.136;2.186;2.017;1.938;1.894;1.577;1.335;0.882;0.609;0.053
C;2.183;2.099;2.146;2.062;2.055;1.975;1.81;1.517;1.229;0.832;0.548;0.051
D;2.227;2.173;2.124;2.096;2.028;1.912;1.818;1.562;1.239;0.883;0.52;0.055
E;0.037;0.033;0.035;0.034;0.024;0.038;0.031;0.045;0.027;0.029;0.038;0.032
F;0.049;0.07;0.033;0.033;0.03;0.033;0.029;0.031;0.031;0.035;0.093;0.054
G;0.067;0.045;0.038;0.029;0.073;0.031;0.037;0.032;0.035;0.05;0.046;0.044
H;0.024;0.042;0.052;0.104;0.04;0.047;0.045;0.046;0.043;0.042;0.049;0.051
;;;;;;;;;;;;
;2. Raw Data (620 2);;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12
A;0.035;0.034;0.037;0.039;0.036;0.034;0.034;0.034;0.033;0.034;0.035;0.038
B;0.035;0.035;0.036;0.039;0.038;0.037;0.039;0.043;0.038;0.043;0.035;0.033
C;0.036;0.04;0.04;0.039;0.091;0.059;0.041;0.036;0.041;0.035;0.033;0.032
D;0.032;0.038;0.039;0.034;0.037;0.04;0.043;0.042;0.036;0.037;0.04;0.035
E;0.026;0.023;0.024;0.025;0.019;0.028;0.022;0.032;0.019;0.02;0.026;0.024
F;0.036;0.048;0.024;0.025;0.023;0.026;0.019;0.023;0.023;0.025;0.061;0.04
G;0.045;0.032;0.027;0.021;0.054;0.025;0.027;0.024;0.026;0.038;0.033;0.034
H;0.02;0.03;0.035;0.067;0.029;0.034;0.032;0.033;0.032;0.031;0.034;0.036
