User: USER;;;;;;;;;;;;;;;
Path: C:\Program Files (x86)\BMG\Omega\User\Data\;;;;;;;;;;;;;;;
Test ID: 2821;;;;;;;;;;;;;;;
Test Name: BM chemoluminescence;;;;;;;;;;;;;;;
Date: 25-01-2024;;;;;;;;;;;;;;;
Time: 11:42:30;;;;;;;;;;;;;;;
ID1: H6N1/Cali ELISA Pig Sera Sample Y1-10  MAOJ 25/01;;;;;;;;;;;;;;;
Luminescence;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Raw Data (lens);;;;;;;;pooled sera from group 2;pooled sera from group 4;;;;;
;Y1;Y2;Y3;Y4;Y5;Y6;Y7;Y8;Y9;Y10;VIRUS;POSITIVE;;;
A;254526;273940;199662;324642;247774;260186;276728;323677;8718;303899;409149;262;;;
B;335386;367856;322561;381090;337604;348022;332454;364984;68272;364290;376869;1551;;;
C;349233;339375;338637;357094;332649;349660;339120;377472;180181;390946;406265;8487;;;
D;376669;337817;362836;357296;344727;361181;399207;383790;309865;398598;410252;81235;;;
E;359196;393714;367430;355078;366881;346593;363472;386652;377330;381863;498;249840;;;
F;389285;349901;393394;376303;374408;376966;364738;378713;350161;387499;410;376652;;;
G;389655;369906;377216;377017;367613;364810;377249;373812;397741;394223;415;374951;;;
H;339301;316418;319730;370981;333168;352509;349870;378062;356081;372290;422;355583;;;
;;;;;;;;;background;;436,25;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Y1;Y2;Y3;Y4;Y5;Y6;Y7;Y8;Y9;Y10;VIRUS;POSITIVE;;Dilution;Log10
A;254090;273504;199226;324206;247338;259750;276292;323241;8282;303463;408713;-174;;30;1,48
B;334950;367420;322125;380654;337168;347586;332018;364548;67836;363854;376433;1115;;120;2,08
C;348797;338939;338201;356658;332213;349224;338684;377036;179745;390510;405829;8051;;480;2,68
D;376233;337381;362400;356860;344291;360745;398771;383354;309429;398162;409816;80799;;1920;3,28
E;358760;393278;366994;354642;366445;346157;363036;386216;376894;381427;62;249404;;7680;3,89
F;388849;349465;392958;375867;373972;376530;364302;378277;349725;387063;-26;376216;;30720;4,49
G;389219;369470;376780;376581;367177;364374;376813;373376;397305;393787;-21;374515;;122880;5,09
H;338865;315982;319294;370545;332732;352073;349434;377626;355645;371854;-14;355147;;491520;5,69
;;;;;;;;;;50% virus cut off;200099;;;;
;;;;;;;;;;;;;;;
;Calculated from GraphPad;;50% NA inhibition titer;;;;;;;;;;;;
;X1;1,27;18,61;;;;;;;;;;;;
;X2;0,00;1,00;;;;;;;;;;;;
;X3;1,48;30,27;;;;;;;;;;;;
;X4;0,00;1,00;;;;;;;;;;;;
;X5;1,31;20,62;;;;;;;;;;;;
;X6;1,34;21,79;;;;;;;;;;;;
;X7;0,00;1,00;;;;;;;;;;;;
;X8;0,00;1,00;;;;;;;;;;;;
;X9;2,74;551,07;;;;;;;;;;;;
;X10;0,00;1,00;;;;;;;;;;;;
;Positive;3,71;5077,40;;;;;;;;;;;;
